iter	RMSE
0	3.809924131
1	3.460519955
2	3.137191889
3	2.84744653
4	2.59464364
5	2.365761757
6	2.174312333
7	1.982666979
8	1.805499987
9	1.656752105
10	1.514641901
11	1.396315668
12	1.279859987
13	1.177816316
14	1.086728962
15	1.003588381
16	0.9283266246
17	0.8596474394
18	0.7989731111
19	0.7451478192
20	0.6977846754
21	0.6591054565
22	0.6227714235
23	0.5911487331
24	0.5608639382
25	0.5386991992
26	0.521637718
27	0.5041494123
28	0.4837561868
29	0.4699149796
30	0.4577740276
31	0.4460894407
32	0.4343455968
33	0.4270314124
34	0.4158595771
35	0.4096127646
36	0.4036940471
37	0.3991329292
38	0.3947181343
39	0.3907773537
40	0.3869651505
41	0.3818396705
42	0.3797560274
43	0.3767919853
44	0.3734337564
45	0.3691088406
46	0.3661386471
47	0.3639824545
48	0.3604355611
49	0.3588237287
50	0.3526967411
51	0.3511726256
52	0.3500459962
53	0.3478797382
54	0.3453964119
55	0.3421041689
56	0.3352074996
57	0.3343571464
58	0.3305634933
59	0.328038551
60	0.325730396
61	0.3239475174
62	0.3230858039
63	0.3189380843
64	0.3146084587
65	0.3132030673
66	0.3116127954
67	0.3079208797
68	0.3049550616
69	0.3025583757
70	0.2988459069
71	0.298064641
72	0.2958910679
73	0.2944116616
74	0.2914844745
75	0.289185846
76	0.2863609216
77	0.2841621539
78	0.2801473838
79	0.2794359674
80	0.2765342332
81	0.271942943
82	0.2707409534
83	0.2681682254
84	0.2654250457
85	0.2641815619
86	0.2621864135
87	0.2604225322
88	0.2591736526
89	0.2563647894
90	0.2535254559
91	0.2522052117
92	0.2500445517
93	0.2487044993
94	0.2469153029
95	0.245148307
96	0.2430530232
97	0.2423062514
98	0.2397145155
99	0.2383893577
