iter	Passed	Remaining
0	5	498
1	9	482
2	14	465
3	18	452
4	23	445
5	27	437
6	32	429
7	36	423
8	41	417
9	45	410
10	50	404
11	54	398
12	58	392
13	63	387
14	67	382
15	71	377
16	76	372
17	80	366
18	85	362
19	89	358
20	93	352
21	97	347
22	102	342
23	106	337
24	111	333
25	115	329
26	120	324
27	124	320
28	129	316
29	133	311
30	138	307
31	142	302
32	147	299
33	151	294
34	156	290
35	161	286
36	165	282
37	170	277
38	174	273
39	179	268
40	183	264
41	188	260
42	192	255
43	197	251
44	201	246
45	206	242
46	210	237
47	215	232
48	219	228
49	223	223
50	228	219
51	232	214
52	236	209
53	241	205
54	245	200
55	249	196
56	254	191
57	258	187
58	263	182
59	267	178
60	272	174
61	276	169
62	281	165
63	285	160
64	289	156
65	294	151
66	298	147
67	303	142
68	307	138
69	312	133
70	316	129
71	321	124
72	325	120
73	330	116
74	335	111
75	339	107
76	344	102
77	348	98
78	353	93
79	357	89
80	362	85
81	366	80
82	371	76
83	375	71
84	380	67
85	384	62
86	389	58
87	394	53
88	399	49
89	403	44
90	407	40
91	412	35
92	416	31
93	421	26
94	426	22
95	431	17
96	436	13
97	441	9
98	446	4
99	451	0
