iter	RMSE
0	3.80993034
1	3.460528771
2	3.137434985
3	2.844168046
4	2.591640625
5	2.359629125
6	2.161161557
7	1.972613227
8	1.807121308
9	1.655281942
10	1.516878628
11	1.388136911
12	1.265571116
13	1.163965888
14	1.066935105
15	0.9786331069
16	0.90266763
17	0.8316855789
18	0.7692265442
19	0.7144379393
20	0.6663947992
21	0.625580568
22	0.587249859
23	0.5541187291
24	0.5271124264
25	0.5012995764
26	0.4769829281
27	0.4588462777
28	0.4404597063
29	0.4238078145
30	0.4092878075
31	0.3979691472
32	0.3881526074
33	0.379446905
34	0.3719532717
35	0.3652970654
36	0.3579912722
37	0.3526608603
38	0.3478431282
39	0.341586275
40	0.3362525313
41	0.3321747459
42	0.3271967216
43	0.3233307658
44	0.3178914437
45	0.3151129169
46	0.3103522714
47	0.3078964
48	0.3038732618
49	0.3023042861
50	0.2987784949
51	0.2944669562
52	0.2930003608
53	0.290967983
54	0.2878901013
55	0.2840475693
56	0.2812321133
57	0.2785835757
58	0.2751208809
59	0.2706521961
60	0.2667114675
61	0.2654880596
62	0.2636529798
63	0.2619799317
64	0.2582287555
65	0.2547066507
66	0.2520133134
67	0.2487892186
68	0.2455875672
69	0.2443384241
70	0.2416266682
71	0.2405409876
72	0.2377051536
73	0.2362495833
74	0.2337858239
75	0.2317866808
76	0.2298151046
77	0.2278944647
78	0.2274285642
79	0.2265749263
80	0.2245378759
81	0.2223976387
82	0.2204145036
83	0.2186454169
84	0.2168098175
85	0.2157752312
86	0.2145306746
87	0.2122158046
88	0.211024498
89	0.2094219249
90	0.2081535771
91	0.206439098
92	0.2040874176
93	0.2022844671
94	0.2010118607
95	0.1999989622
96	0.1984705228
97	0.1969343735
98	0.196136464
99	0.1949190653
