iter	Passed	Remaining
0	6	634
1	13	645
2	19	636
3	26	625
4	32	619
5	39	613
6	46	612
7	51	593
8	57	578
9	63	567
10	69	558
11	75	556
12	82	554
13	89	549
14	94	538
15	100	526
16	105	512
17	109	500
18	114	486
19	118	474
20	123	465
21	128	455
22	133	446
23	137	436
24	142	426
25	146	416
26	150	407
27	155	399
28	159	391
29	164	383
30	168	375
31	173	368
32	177	360
33	182	354
34	187	348
35	192	342
36	198	337
37	202	330
38	207	324
39	212	318
40	218	313
41	223	309
42	229	303
43	235	299
44	240	293
45	245	288
46	250	282
47	255	276
48	261	271
49	266	266
50	271	260
51	276	255
52	281	249
53	287	245
54	293	239
55	298	234
56	304	229
57	309	223
58	314	218
59	320	213
60	325	208
61	330	202
62	334	196
63	338	190
64	343	184
65	347	179
66	352	173
67	357	168
68	361	162
69	366	157
70	371	151
71	376	146
72	382	141
73	386	135
74	391	130
75	395	124
76	400	119
77	405	114
78	410	109
79	416	104
80	421	98
81	425	93
82	430	88
83	434	82
84	439	77
85	444	72
86	449	67
87	453	61
88	458	56
89	463	51
90	467	46
91	472	41
92	476	35
93	481	30
94	485	25
95	489	20
96	494	15
97	498	10
98	503	5
99	507	0
